year,region,species_code,sex,sex_desc,iss,nss,nhls
1996,goa,21740,12,female_male,612.8181929362247,37253,630
1996,goa,30060,0,total_pre,175.0440622637487,21564,315
1996,goa,30060,1,male,132.8301072700612,11191,283
1996,goa,30060,2,female,164.05385162889485,10141,274
1996,goa,30060,4,total_post,175.04405508344828,21564,315
1996,goa,30060,12,female_male,301.13899490970897,21332,309
1996,goa,30420,0,total_pre,240.87600558371088,4239,131
1996,goa,30420,1,male,189.34154808290617,2045,109
1996,goa,30420,2,female,122.13310917720757,2183,105
1996,goa,30420,4,total_post,240.87596438738746,4239,131
1996,goa,30420,12,female_male,255.8852083039642,4228,128
1996,wcgoa,10110,0,total_pre,3706.817968403287,41733,538
1996,wcgoa,10110,1,male,1413.8363509249473,12081,499
1996,wcgoa,10110,2,female,3339.953072630565,29638,530
1996,wcgoa,10110,4,total_post,3706.8177064544875,41733,538
1996,wcgoa,10110,12,female_male,4666.180061831204,41719,538
1996,wcgoa,10130,0,total_pre,2401.1531965558975,18633,333
1996,wcgoa,10130,1,male,1212.9158578763218,8612,298
1996,wcgoa,10130,2,female,1752.8634468854984,9677,312
1996,wcgoa,10130,4,total_post,2401.1535347836652,18633,333
1996,wcgoa,10130,12,female_male,2314.176315541226,18289,332
1996,wcgoa,10180,0,total_pre,1148.005575844375,3346,245
1996,wcgoa,10180,1,male,570.8961508354397,1881,174
1996,wcgoa,10180,2,female,636.6099493475294,1465,223
1996,wcgoa,10180,4,total_post,1148.0057518188914,3346,245
1996,wcgoa,10180,12,female_male,1210.2962257707877,3346,245
1996,wcgoa,10200,0,total_pre,1727.357101232728,7886,339
1996,wcgoa,10200,1,male,641.9107419567073,3429,237
1996,wcgoa,10200,2,female,1231.6099696414392,4450,319
1996,wcgoa,10200,4,total_post,1727.3563223254012,7886,339
1996,wcgoa,10200,12,female_male,1690.1866247564437,7879,339
1996,wcgoa,10261,0,total_pre,1029.885101692624,8537,195
1996,wcgoa,10261,1,male,459.7460930368747,3220,155
1996,wcgoa,10261,2,female,957.6645329814514,5310,185
1996,wcgoa,10261,4,total_post,1029.8850567843924,8537,195
1996,wcgoa,10261,12,female_male,1257.8007848382513,8530,194
1996,wcgoa,10262,0,total_pre,1301.6131110355534,8104,257
1996,wcgoa,10262,1,male,391.15806565342626,1815,159
1996,wcgoa,10262,2,female,1055.2792098172006,6278,251
1996,wcgoa,10262,4,total_post,1301.61327596008,8104,257
1996,wcgoa,10262,12,female_male,1334.2138829351243,8093,256
1996,wcgoa,20510,0,total_pre,417.22578674438165,3142,215
1996,wcgoa,20510,1,male,436.1135424650401,1920,191
1996,wcgoa,20510,2,female,184.14892270289948,1221,183
1996,wcgoa,20510,4,total_post,417.2252461953101,3142,215
1996,wcgoa,20510,12,female_male,567.7405334530877,3141,215
1996,wcgoa,21720,0,total_pre,336.52562530190283,11555,443
1996,wcgoa,21720,1,male,215.36203593967912,5661,395
1996,wcgoa,21720,2,female,409.14663022279996,5859,408
1996,wcgoa,21720,4,total_post,336.5256298597652,11555,443
1996,wcgoa,21720,12,female_male,537.0654379502877,11520,441
1996,wcgoa,21740,0,total_pre,465.00540897530766,31410,483
1996,wcgoa,21740,1,male,504.635712187511,11745,415
1996,wcgoa,21740,2,female,448.65455629938447,13251,416
1996,wcgoa,21740,4,total_post,465.0053971043316,31410,483
1996,wcgoa,21740,12,female_male,947.5401188810741,24996,463
1996,wcgoa,30060,0,total_pre,141.19295386284458,11301,209
1996,wcgoa,30060,1,male,118.70900757053688,6048,186
1996,wcgoa,30060,2,female,100.97475485573601,5050,175
1996,wcgoa,30060,4,total_post,141.192951619187,11301,209
1996,wcgoa,30060,12,female_male,230.788370905421,11098,204
1996,wcgoa,30420,0,total_pre,240.00868619233194,4203,119
1996,wcgoa,30420,1,male,188.74772939357067,2028,99
1996,wcgoa,30420,2,female,121.69618542283315,2164,97
1996,wcgoa,30420,4,total_post,240.00864475486884,4203,119
1996,wcgoa,30420,12,female_male,255.0332633305002,4192,116
1999,egoa,10110,0,total_pre,1228.6760004514856,9856,175
1999,egoa,10110,1,male,662.2501432876376,3859,171
1999,egoa,10110,2,female,785.8241710949511,5996,172
1999,egoa,10110,4,total_post,1228.676073685435,9856,175
1999,egoa,10110,12,female_male,1346.8904980044592,9855,175
1999,egoa,10130,0,total_pre,262.9881828312006,1988,74
1999,egoa,10130,1,male,178.94792453501333,1079,60
1999,egoa,10130,2,female,151.12081374147584,905,64
1999,egoa,10130,4,total_post,262.9882224282027,1988,74
1999,egoa,10130,12,female_male,322.228519134444,1984,74
1999,egoa,10180,0,total_pre,1092.1957827941646,3670,151
1999,egoa,10180,1,male,634.5079927598558,2111,124
1999,egoa,10180,2,female,580.7865544872336,1513,142
1999,egoa,10180,4,total_post,1092.195281599809,3670,151
1999,egoa,10180,12,female_male,1158.4173700837168,3624,150
1999,egoa,10200,0,total_pre,1126.6368901436488,4971,158
1999,egoa,10200,1,male,628.5804590745046,2807,140
1999,egoa,10200,2,female,861.4763323879406,2160,153
1999,egoa,10200,4,total_post,1126.6365927184665,4971,158
1999,egoa,10200,12,female_male,1161.8158205284587,4967,157
1999,egoa,10262,0,total_pre,166.3418361869752,487,33
1999,egoa,10262,1,male,64.94154102473381,128,18
1999,egoa,10262,2,female,113.74160388935621,358,32
1999,egoa,10262,4,total_post,166.3417818495762,487,33
1999,egoa,10262,12,female_male,171.52491025570612,486,32
1999,egoa,20510,0,total_pre,550.0585524479912,1589,138
1999,egoa,20510,1,male,335.09510176294754,931,122
1999,egoa,20510,2,female,258.2815183804105,658,116
1999,egoa,20510,4,total_post,550.0580958870387,1589,138
1999,egoa,20510,12,female_male,602.9147787759633,1589,138
1999,egoa,21720,0,total_pre,229.71621631021645,494,65
1999,egoa,21720,1,male,131.86051096688456,249,50
1999,egoa,21720,2,female,113.93194441418783,245,53
1999,egoa,21720,4,total_post,229.71626303105975,494,65
1999,egoa,21720,12,female_male,244.02575944412072,494,65
1999,egoa,21740,0,total_pre,123.50230622345438,3908,138
1999,egoa,21740,1,male,97.5470067706359,1844,123
1999,egoa,21740,2,female,120.84632136545541,2044,126
1999,egoa,21740,4,total_post,123.50231321390088,3908,138
1999,egoa,21740,12,female_male,219.78753368548809,3888,137
1999,egoa,30060,0,total_pre,148.12378078854195,5323,105
1999,egoa,30060,1,male,119.7174067169246,2774,92
