year,region,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
1990,egoa,30060,1,8,32.574,1.3486964900311056,31.85,3.33
1990,egoa,30060,1,9,33.845000000000006,1.248601439834007,34,2.49
1990,egoa,30060,1,10,34.79,0.646769751233862,35.13,1.71
1990,egoa,30060,1,11,35.495,0.7938828628960316,35.21,2.15
1990,egoa,30060,1,12,36.038,0.8888044404329515,35.39,1.87
1990,egoa,30060,1,13,36.311,0.8244789600441943,36.58,1.71
1990,egoa,30060,1,14,36.925,0.46215076904981356,37.29,1.54
1990,egoa,30060,1,15,36.986000000000004,0.27260879581472724,37.47,1.41
1990,egoa,30060,1,16,37.301,0.5411602761146131,37.03,1.16
1990,egoa,30060,1,17,36.98100000000001,0.5759523514242387,37.29,1.05
1990,egoa,30060,1,18,38.02333333333334,0.9038805230781338,38.62,1.44
1990,egoa,30060,1,19,39.02125,1.353571334338481,37.52,3.35
1990,egoa,30060,1,20,38.086666666666666,2.9501737236983185,39.65,0.94
1990,egoa,30060,1,21,39.82600000000001,1.4174954438492327,39.3,2.01
1990,egoa,30060,1,22,40.71125,1.662016309873557,40,0
1990,egoa,30060,1,23,40.526666666666664,2.1066719409216677,37.63,1.66
1990,egoa,30060,1,24,39.425,2.2336773011592976,42,0
1990,egoa,30060,1,25,39.82777777777778,1.9883081864852958,41,0
1990,egoa,30060,1,26,40.691250000000004,1.788945719051946,41,0
1990,egoa,30060,1,27,40.76857142857143,1.2963079440141867,NA,NA
1990,egoa,30060,1,28,39.554,1.8383634025948186,39.07,1.77
1990,egoa,30060,1,29,39.769999999999996,2.6022298130641732,42,0
1990,egoa,30060,1,30,39.38,2.358869785864974,36,0
1990,egoa,30060,1,31,38.73666666666667,3.034474144449633,NA,NA
1990,egoa,30060,1,32,39.666666666666664,1.3662601021279464,39,0
1990,egoa,30060,1,33,39,0,NA,NA
1990,egoa,30060,1,34,39.84166666666667,0.7552593373581463,NA,NA
1990,egoa,30060,1,35,40,0,40,0
1990,egoa,30060,1,36,39.8075,0.38500000000000156,NA,NA
